"country","Human Freedom","Democracy"
" New Zealand ","8.88","9.08"
" Switzerland ","8.82","9.01"
" Hong Kong ","8.81","5.76"
" Canada ","8.65","8.94"
" Australia ","8.62","8.87"
" Denmark ","8.56","9.25"
" Luxembourg ","8.56","8.59"
" Finland ","8.53","8.87"
" Germany ","8.53","8.41"
" Ireland ","8.52","8.94"
" Sweden ","8.50","9.39"
" Netherlands ","8.50","8.83"
" Austria ","8.48","8.25"
" United Kingdom ","8.47","8.39"
" Estonia ","8.46","7.61"
" United States ","8.46","7.92"
" Norway ","8.44","9.91"
" Iceland ","8.41","9.39"
" Taiwan ","8.40","7.38"
" Malta ","8.37","8.06"
" Czech Rep. ","8.34","7.39"
" Lithuania ","8.32","6.91"
" Latvia ","8.29","6.93"
" Belgium ","8.29","7.60"
" Japan ","8.28","7.64"
" Portugal ","8.27","7.52"
" Korea, South ","8.20","7.94"
" Chile ","8.15","7.52"
" Spain ","8.12","7.90"
" Romania ","8.11","6.07"
" Singapore ","8.11","6.14"
" Italy ","8.04","7.84"
" Slovak Rep. ","8.02","6.94"
" France ","8.02","7.62"
" Slovenia ","7.97","7.32"
" Cyprus ","7.93","7.29"
" Croatia ","7.86","6.45"
" Albania ","7.84","5.57"
" Bulgaria ","7.79","6.80"
" Poland ","7.78","6.43"
" Georgia ","7.74","6.02"
" Uruguay ","7.74","7.72"
" Costa Rica ","7.70","7.57"
" Panama ","7.69","6.92"
" Hungary ","7.65","6.54"
" Israel ","7.61","8.27"
" Mongolia ","7.61","6.36"
" Bahamas ","7.56"
" Peru ","7.55","6.27"
" Mauritius ","7.52","7.92"
" Suriname ","7.48","6.54"
" Cape Verde ","7.45","7.65"
" Montenegro ","7.43","5.35"
" Armenia ","7.42","3.75"
" Bosnia and Herzegovina ","7.37","4.55"
" North Macedonia ","7.34","5.20"
" Greece ","7.33","6.98"
" Serbia ","7.30","6.18"
" Jamaica ","7.20","6.91"
" Fiji ","7.17","5.92"
" Botswana ","7.17","7.48"
" Seychelles ","7.16"
" Cambodia ","7.13","3.72"
" South Africa ","7.08","7.06"
" Guatemala ","7.07","5.63"
" Barbados ","7.02"
" Kyrgyz Republic ","6.98","5.14"
" Dominican Rep. ","6.95","6.72"
" Belize ","6.95"
" Ghana ","6.94","6.74"
" Moldova ","6.93","5.66"
" Colombia ","6.93","6.20"
" Paraguay ","6.90","6.05"
" Kazakhstan ","6.90","2.87"
" El Salvador ","6.89","5.99"
" Philippines ","6.88","6.62"
" Nicaragua ","6.86","4.06"
" Argentina ","6.86","6.79"
" Kenya ","6.85","5.29"
" Jordan ","6.84","4.04"
" Indonesia ","6.83","6.59"
" Ecuador ","6.82","5.83"
" Rwanda ","6.82","3.25"
" Honduras ","6.81","5.61"
" Benin ","6.77","5.62"
" Timor-Leste ","6.76","7.12"
" Namibia ","6.75","5.83"
" Lebanon ","6.74","4.73"
" Guyana ","6.74","6.24"
" Burkina Faso ","6.73","4.70"
" Haiti ","6.71","3.50"
" Mexico ","6.65","6.47"
" Belarus ","6.65","3.33"
" India ","6.64","7.25"
" Bahrain ","6.63","2.80"
" Trinidad and Tobago ","6.62","6.82"
" Bolivia ","6.61","5.10"
" Uganda ","6.61","4.90"
" Pap. New Guinea ","6.60","5.63"
" Malawi ","6.60","5.39"
" Côte d'Ivoire ","6.59","3.88"
" Senegal ","6.57","6.07"
" Thailand ","6.55","4.32"
" Lesotho ","6.54","6.62"
" Bhutan ","6.53","5.39"
" Malaysia ","6.52","6.61"
" Nepal ","6.51","5.08"
" Zambia ","6.49","5.49"
" Brazil ","6.48","6.20"
" Sri Lanka ","6.41","6.56"
" Eswatini ","6.40","2.91"
" Nigeria ","6.38","4.45"
" Liberia ","6.35","5.14"
" Russia ","6.34","2.87"
" Madagascar ","6.32","5.21"
" Togo ","6.31","2.94"
" Vietnam ","6.29","3.18"
" Ukraine ","6.26","5.58"
" Tanzania ","6.26","5.66"
" Mozambique ","6.24","4.14"
" Azerbaijan ","6.22","2.43"
" Turkey ","6.21","5.51"
" Laos ","6.20","2.59"
" Kuwait ","6.19","3.93"
" Morocco ","6.18","4.99"
" China ","6.17","3.51"
" Qatar ","6.15","3.04"
" United Arab Emirates ","6.13","2.70"
" Tunisia ","6.08","6.44"
" Guinea-Bissau ","6.07","1.90"
" Mali ","6.03","5.51"
" Gabon ","5.99","3.56"
" Sierra Leone ","5.99","4.51"
" Oman ","5.98","2.77"
" Gambia, The ","5.94","4.34"
" Niger ","5.87","3.53"
" Congo, Rep. of ","5.80","3.33"
" Bangladesh ","5.77","5.47"
" Tajikistan ","5.77","2.20"
" Pakistan ","5.69","4.15"
" Brunei Darussalam ","5.69"
" Zimbabwe ","5.65","3.14"
" Cameroon ","5.64","3.78"
" Guinea ","5.61","3.19"
" Burundi ","5.56","2.33"
" Mauritania ","5.47","3.68"
" Chad ","5.46","1.22"
" Myanmar ","5.44","4.28"
" Saudi Arabia ","5.42","2.05"
" Central Afr. Rep. ","5.41","1.31"
" Angola ","5.40","3.79"
" Congo, Dem. R. ","5.36","1.80"
" Ethiopia ","5.25","3.69"
" Iran ","5.10","2.70"
" Algeria ","4.99","3.42"
" Libya ","4.64","2.17"
" Egypt ","4.50","3.47"
" Iraq ","4.34","4.16"
" Sudan ","4.32","2.39"
" Yemen, Rep. ","4.30","2.36"
" Venezuela ","3.80","3.88"
" Syria ","3.79","1.79"
